"","index","date","player","old_club","new_club","fee"
"235",1644,2020-07-21,"David Querol","Albacete","Cádiz","Loan return-other"
"236",1645,2020-07-21,"Dani Romera","Alcorcón","Cádiz","Loan return-other"
"237",1646,2020-07-21,"Sergio Sánchez","Albacete","Cádiz","Loan return-other"
"238",1681,2020-07-21,"Róbert Mazán","Tenerife","Celta Vigo","Loan return-other"
"239",1701,2020-07-21,"Asier Benito","Ponferradina","Eibar","Loan return-other"
"240",1702,2020-07-21,"Roberto Olabe","Extremadura","Eibar","Loan return-other"
"241",1745,2020-07-21,"Jack Harper","Alcorcón","Getafe","Loan return-other"
"242",1746,2020-07-21,"Rubén Yáñez","Huesca","Getafe","Loan return-other"
"243",1774,2020-07-21,"Bernardo Cruz","Numancia","Granada","Loan return-other"
"244",1794,2020-07-21,"Joaquín Muñoz","Mirandés","Huesca","Loan return-other"
"245",1795,2020-07-21,"Jaime Seoane","Lugo","Huesca","Loan return-other"
"246",1808,2020-07-21,"Toni Datkovic","Huesca"," Lokomotiva","Loan return-other"
"247",1809,2020-07-21,"Cheick Doukouré","Huesca","Levante","Loan return-other"
"248",1810,2020-07-21,"Cristo González","Huesca"," Udinese","Loan return-other"
"249",1811,2020-07-21,"Jordi Mboula","Huesca"," Monaco","Loan return-other"
"250",1812,2020-07-21,"Miguelón","Huesca","Villarreal","Loan return-other"
"251",1813,2020-07-21,"Dani Raba","Huesca","Villarreal","Loan return-other"
"252",1814,2020-07-21,"Josué Sá","Huesca"," Anderlecht","Loan return-other"
"253",1815,2020-07-21,"Rubén Yáñez","Huesca","Getafe","Loan return-other"
"254",1821,2020-07-21,"Cheick Doukouré","Huesca","Levante","Loan return-other"
"255",1822,2020-07-21,"Ivi","Ponferradina","Levante","Loan return-other"
"256",1823,2020-07-21,"Antonio Luna","Rayo Vallecano","Levante","Loan return-other"
"257",1824,2020-07-21,"Fran Manzanara","Ponferradina","Levante","Loan return-other"
"258",1825,2020-07-21,"Armando Sadiku","Málaga","Levante","Loan return-other"
"259",1844,2020-07-21,"Jaume Grau","Lugo","Osasuna","Loan return-other"
"260",1845,2020-07-21,"Antonio Otegui","Numancia","Osasuna","Loan return-other"
"261",1846,2020-07-21,"Luis Perea","Alcorcón","Osasuna","Loan return-other"
"262",1847,2020-07-21,"Juan Villar","Rayo Vallecano","Osasuna","Loan return-other"
"263",1869,2020-07-21,"Juanjo Narváez","Las Palmas","Real Betis","Loan return-other"
"264",1898,2020-07-21,"Andriy Lunin","Oviedo","Real Madrid","Loan return-other"
"265",1899,2020-07-21,"Luca Zidane","Racing Santander","Real Madrid","Loan return-other"
"266",1919,2020-07-21,"Jon Guridi","Mirandés","Real Sociedad","Loan return-other"
"267",1920,2020-07-21,"Martín Merquelanz","Albacete","Real Sociedad","Loan return-other"
"268",1921,2020-07-21,"Modibo Sagnan","Mirandés","Real Sociedad","Loan return-other"
"269",1983,2020-07-21,"Álvaro Aguado","Numancia","Valladolid","Loan return-other"
"270",1984,2020-07-21,"Marcos André","Mirandés","Valladolid","Loan return-other"
